ano;sigla_uf;cnae_2;descricao_cnae;grupo;tratado;total_vinculos_ativos;massa_salarial;post;salario_medio
2019;AL;23494;Fabricação de produtos cerâmicos não refratários não especificados anteriormente;controle;FALSE;4;4815,0000000000;FALSE;1,20375000000000e+03
2019;AL;23915;Aparelhamento e outros trabalhos em pedras;controle;FALSE;134;163150,9700000000;FALSE;1,21754455223881e+03
2019;AL;23923;Fabricação de cal e gesso;controle;FALSE;12;14807,9100000000;FALSE;1,23399250000000e+03
2019;AL;23991;Fabricação de produtos de minerais não metálicos não especificados anteriormente;controle;FALSE;60;83818,3500000000;FALSE;1,39697250000000e+03
2019;AL;24245;Produção de relaminados, trefilados e perfilados de aço;sensibilidade;FALSE;17;32306,0900000000;FALSE;1,90035823529412e+03
2019;AL;24318;Produção de tubos de aço com costura;sensibilidade;FALSE;0;0,0000000000;FALSE;NA
2019;AL;24415;Metalurgia do alumínio e suas ligas;sensibilidade;FALSE;16;20715,0500000000;FALSE;1,29469062500000e+03
2019;AL;24512;Fundição de ferro e aço;sensibilidade;FALSE;38;65903,5500000000;FALSE;1,73430394736842e+03
2019;AL;24521;Fundição de metais não ferrosos e suas ligas;sensibilidade;FALSE;13;0,0000000000;FALSE;0,00000000000000e+00
2019;AL;25110;Fabricação de estruturas metálicas;controle;FALSE;39;90036,4600000000;FALSE;2,30862717948718e+03
2019;AL;25128;Fabricação de esquadrias de metal;controle;FALSE;180;258231,1199999999;FALSE;1,43461733333333e+03
2019;AL;25136;Fabricação de obras de caldeiraria pesada;controle;FALSE;119;154572,5600000001;FALSE;1,29892907563025e+03
2019;AL;25217;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;controle;FALSE;33;74131,7700000000;FALSE;2,24641727272727e+03
2019;AL;25322;"Produção de artefatos estampados de metal; metalurgia do pó";controle;FALSE;14;17145,0600000000;FALSE;1,22464714285714e+03
